Geo_id,Geo_id_type,Positive,Total,Deaths,Update_time,Source_geo
86036,ZCTA,0,NA,NA,2020-05-22,Arizona
86040,ZCTA,145,NA,NA,2020-05-22,Arizona
86047,ZCTA,101,NA,NA,2020-05-22,Arizona
85936,ZCTA,0,NA,NA,2020-05-22,Arizona
86025,ZCTA,14,NA,NA,2020-05-22,Arizona
85924,ZCTA,0,NA,NA,2020-05-22,Arizona
85937,ZCTA,6,NA,NA,2020-05-22,Arizona
85933,ZCTA,1,NA,NA,2020-05-22,Arizona
85928,ZCTA,0,NA,NA,2020-05-22,Arizona
85931,ZCTA,0,NA,NA,2020-05-22,Arizona
86029,ZCTA,1,NA,NA,2020-05-22,Arizona
86032,ZCTA,1,NA,NA,2020-05-22,Arizona
85939,ZCTA,1,NA,NA,2020-05-22,Arizona
85942,ZCTA,1,NA,NA,2020-05-22,Arizona
02128,ZCTA aggregate,1285,3540,NA,2020-05-13,Boston
02136,ZCTA aggregate,961,3326,NA,2020-05-13,Boston
02122_02124,ZCTA aggregate,1773,5507,NA,2020-05-13,Boston
